source,content,tag
0,[CLS],1
0,enkaz,0
0,altında,0
0,kahraman,1
0,##maraş,2
0,##ta,2
0,oturan,0
0,arkadaşımın,0
0,enkaz,0
0,##da,0
0,olduğunu,0
0,öğrendim,0
0,adr,3
0,##eş,4
0,##yah,4
0,##ya,4
0,kemal,4
0,mah,4
0,vez,4
0,##ir,4
0,hoca,4
0,bul,4
0,##varı,4
0,sa,4
0,##id,4
0,##bey,4
0,sitesi,4
0,84,4
0,##4,4
0,dü,4
0,##lk,4
0,##adi,4
0,##ro,4
0,##ğ,4
0,##luk,4
0,##ah,2
0,##raman,2
0,##maraş,2
0,az,5
0,##ra,6
0,nur,6
0,alt,6
0,##un,6
0,oğ,5
0,##uz,6
0,##han,6
0,##ug,6
0,##ür,6
0,sonda,1
0,##ki,2
0,##ka,2
0,deprem,0
0,turk,3
0,##ey,4
0,enkaz,0
0,##altında,0
0,##yım,0
0,yardım,0
0,af,0
0,##ad,0
0,sonda,1
0,##ki,4
0,##ka,2
0,[SEP],0
1,[CLS],1
1,no,0
1,##con,0
1,##te,4
1,##xt,4
1,##el,4
1,##b,4
1,küm,4
1,##bet,4
1,mah,4
1,kuzey,4
1,sokak,4
1,şah,4
1,##inler,4
1,apartman,4
1,##ı,4
1,enkaz,0
1,##da,0
1,imam,0
1,şah,6
1,##in,6
1,olmak,0
1,üzere,0
1,25,0
1,insan,0
1,daha,0
1,var,0
1,ve,0
1,halen,0
1,haber,0
1,alına,0
1,##mıyor,0
1,ölüme,0
1,terk,0
1,##edi,0
1,##ld,0
1,##iler,0
1,yardım,0
1,edin,0
1,af,1
1,##ade,2
1,##l,2
1,##bistan,2
1,af,1
1,##ad,2
1,##maraş,2
1,akut,0
1,deprem,0
1,##yar,0
1,##dım,0
1,aç,0
1,##ilya,0
1,##rd,0
1,##ım,0
1,turk,3
1,##ey,4
1,deprem,0
1,ah,0
1,##bap,2
1,ah,1
1,##bap,2
1,##maraş,2
1,elbis,3
1,##tan,4
1,[SEP],0
2,[CLS],1
2,enkaz,0
2,altında,0
2,kahraman,1
2,##maraş,2
2,##ta,2
2,oturan,0
2,arkadaşımın,0
2,enkaz,0
2,##da,0
2,olduğunu,0
2,öğrendim,0
2,adr,3
2,##eş,4
2,##yah,4
2,##ya,4
2,kemal,4
2,mah,4
2,vez,4
2,##ir,4
2,hoca,4
2,bul,4
2,##varı,4
2,sa,4
2,##id,4
2,##bey,4
2,sitesi,4
2,84,4
2,##4,4
2,dü,4
2,##lk,4
2,##adi,4
2,##ro,4
2,##ğ,4
2,##luk,4
2,##ah,2
2,##raman,2
2,##maraş,2
2,az,5
2,##ra,6
2,nur,6
2,alt,6
2,##un,6
2,oğ,5
2,##uz,6
2,##han,6
2,##ug,6
2,##ür,6
2,sonda,0
2,##ki,0
2,##ka,0
2,deprem,0
2,turk,3
2,##ey,4
2,enkaz,0
2,##altında,0
2,##yım,0
2,yardım,0
2,af,1
2,##ad,0
2,mar,1
2,##aş,2
2,sonda,0
2,##ki,4
2,##ka,0
2,##de,0
2,##pr,0
2,##em,0
2,[SEP],0
3,[CLS],0
3,teyz,0
3,##em,0
3,ne,0
3,durumda,0
3,bilmiyoruz,0
3,tek,0
3,başına,0
3,yaşlı,0
3,bir,0
3,kadın,0
3,lütfen,0
3,r,0
3,##t,0
3,ile,0
3,yardım,0
3,edin,0
3,e,0
3,##arth,0
3,##qu,0
3,##ake,0
3,turk,0
3,##ey,0
3,türkiye,3
3,hel,0
3,##pt,0
3,##urk,0
3,##ey,0
3,ant,3
3,##ak,4
3,##ya,4
3,##de,3
3,##pr,4
3,##em,4
3,ant,3
3,##ak,4
3,##ya,4
3,##afa,1
3,##d,4
3,ant,3
3,##ak,4
3,##yah,4
3,##atay,4
3,deprem,0
3,[SEP],0
4,[CLS],6
4,is,3
4,##kender,4
4,##un,4
4,çay,4
4,mahallesi,4
4,osman,4
4,##gazi,4
4,cadde,4
4,##si,4
4,dönme,4
4,##z,4
4,durağı,0
4,yani,0
4,or,3
4,##can,4
4,apartman,4
4,##ı,4
4,ihsan,5
4,özer,6
4,ber,5
4,##kan,6
4,özer,6
4,ki,0
4,##fa,0
4,##yet,0
4,bek,0
4,##çi,6
4,peri,5
4,##han,6
4,or,6
4,##can,6
4,metin,5
4,or,6
4,##can,6
4,dün,0
4,gecede,0
4,##n,0
4,beri,0
4,haber,0
4,alına,0
