,Tweets,Class
0,hatay kırıkhan cumhuriyet mah nur sokak hala afadbaşkanlık ulaşmamış lütfen ulaşın artık deprem deprem afaddeprem afadhatay earthquake hatayafad acil enkaz sondakika afadacıl,1
1,antakyadan arkadaşıma ulaşamıyoruz lütfen akasya mahallesinde şu anda kalan ve divitimi okuyan herhangi biri ulaşsın 70 sokak no 9 deprem antakya gaziantep acil diyarbakır malatya afad iskenderun turkey yardım enkaz şanlıurfa enkazaltındayım mersin adana,1
2,kahramanmarasdeprem gaziantep deprem ördekdede lütfen yardım edin destek olun depremdairesi afadbaşkanlık turkey earthquake kızılay halüklevent ahbap ahbap pazarcık ördekdede köyüne destek olun lütfen lütfen,1
3,deprem turkey iskenderun afadhatay lütfen acil yardım öğretmenimize ulaşamıyoruz yakın çevrede 20 binanın enkaz altında kalması dışında haber alamadık pınarbaşı mahallesi ibrahim karaoğlan oğlu caddesi yıldız apartmanı iskenderun hatay gaziantep enkaz,1
4,konum ticaret lisesi yani yeni kent beşniadıyaman 3 bina kötü durumda kuzenlerim ve dayım bir sürü insan geliyormuş afad yok yardım edin lütfen turkey deprem adıyaman acil afaddeprem enkazaltındayım acil sondakika adıyamandeprem halüklevent,1
5,iskenderunhatay muhammer aksoy cad yıldız apt büyük ptt karşısı göçükte yaşayan insanlar var yayalım lütfen depremde deprem turkey acil açilyardım afaddeprem afadhatay enkaz enkazaltındayım ahbap hataydeprem hataybsb 112açılsağlık depremoldu iskenderun,1
6,ahmet özçelik ve ailesi enkaz altında yaşıyorlar lütfen acil yardım odabaşı mahallesi 2418 cadde no1318 antakya hatay deprem acil iskenderun turkey enkaz enkazaltındayım depremde antakya antakyadeprem afadhatay afaddeprem afadantakya afadlardım afadbaşkanlığı,1
7,inönü bulvarı ekinci mahallesi no62 rönesans residence a2 blok kat 154 numara hatay antakya yardım edin lütfen pelin kütahya hamile cemal kütahya ve oğulları çınar kütahya enkaz altındalar acil antakya ahbap iskenderun turkey deprem ahbap,1
8,10a10flood general şükrü kanatlı mahallesi fevzi çakmak caddesi incesu apartmanı hatay tüm binadan haber alamıyoruz deprem hataydeprem halüklevent afaddeprem afadhatay acil turkey earthquake enkaz,1
9,ekinci mahallesi şehit bilgin sokak no1 atilla eren apartmanı kat daire 25 antakyahatay ekinci mahallesi antakya hatay ulaşım arkadaşlar yakında iseniz mutlaka arayın 05062704390 deprem afadhatay antakya acil hataydeprem iskenderun turkey enkazaltındayım,1
10,gaziantepnurdağı enkazın altında 9 kişi var afad hala gelmedi acil yardım bekliyoruz adres bahçelievler mah 403 nolu sokak kapı no4 deprem gaziantep acil afaddeprem afadgaziantep turkey afadacıl açilyardım umke,1
11,yakınlarımıza ulaşamıyoruz kahramanmaraş arı sitesi selma akyel mustafa akyel salim akyel 90 507 382 81 45 enkaz altında insanlar var deprem depremoldu acil enkazaltındayım afad earthquake enkazaltındayım,1
12,on iki şubat kahramanmaraş şehit abdullah çavuş mahallesi ismete karaokur bulvarı hamidiye sitesi melek kalay arkadaşım göçük altında kaldı yardım edin lütfen deprem kahramanmarasdeprem afaddeprem afadkahramanmaraş halüklevent earthquake turkey kahramanmarasvaliliği,1
13,fatih mah nur sokak bayraktar apartmanı kat 2 numara 6 tansel cami yanında apartman yıkılmış hamile kadın var enkaz altında kahramanmaraş afaddeprem afadkahramanmaraş turkey earthquake deprem bgyether afadbaşkanlık akut_derneği,1
14,mehmet bölükbaşı ve ailesi kahramanmaraş sazibey mah ebrar sitesiz blok piazza avm yakını göçük altındalar acil destek lütfen lütfen paylaşın orada kimse yokmuş kahramanmaraş turkey acil deprem kahramanmarasdeprem pazarcık enkaz afaddeprem afad afadkahramanmaras,1
15,yakınlarımıza ulaşamıyoruz kahramanmaraş nurbike apartmanı enkaz altında insanlar var deprem depremoldu acil enkazaltındayım afad earthquake enkazaltındayım ayşegül baydemir erhan baydemir gülşen baydemir 90 507 382 81 45,1
16,diyarbakır galeriada gündüz ailesi içeride 5 kişi var anne baba 3 çocuk haber alamıyoruz afaddiyarbakır diyabakır galeria deprem acil iskenderun turkey iskenderun afaddeprem çok acil rt yapıp paylaşalım,1
17,hatay kırıkhan hala destek bekliyor deprem acil gaziantep ahbap iskenderun earthquake enkaz şanlıurfa mersındeprem adana,1
18,antakya merkez acil ulaşım sağlanması bekleniyor enkazda sesler var hiç kimse gitmemiş afaddeprem afadhatay deprem yardımelin iskenderun acil enkaz turkey enkazaltındayım,1
19,içeride insanlar var dışarı çıkamıyorlar yardım edin adreşyavuz aslan apartmanı a blok kat 7 no 23 akevker mahallesi antakya hatay 432sokak hatay deprem earthquake sallanıyoruz depremoldu afad,1
20,veysel er ismetpaşa mahallesi şehit mücahit şimşek sokak akmansoy apartmanı no16 kahramanmaraş düğün fotoğrafçısı deprem earthquake acil afad enkazaltındayım gaziantep enkaz,1
21,hanımeli apt no3 500 konutlar akasya mah antakya raziye kaya ve ailesi akrabamız enkaz altında biri tweet atsın acil afad turkey earthquake deprem hataydeprem depremde bgyether akut_derneği afadbaşkanlık,1
